Date,BKNG ,AMGN ,VNO ,MA ,VRTX ,HRB ,COG ,ORLY ,LLY ,CPRT ,QCOM ,BIIB ,TXN ,MCO ,V ,EBAY ,AAPL ,NKE ,MSFT ,MNST 
2019-06-10,1781.119995,173.194031,66.028931,265.455109,172.83999599999999,26.119587,23.925848000000002,385.02999900000003,112.64698,74.839996,69.445877,228.399994,111.125023,191.07441699999998,170.28866599999998,37.839973,191.27681,82.152855,131.71173100000001,65.75
2019-06-11,1803.630005,172.24707,65.33337399999999,263.02099599999997,172.0,26.934008000000002,23.737844,381.0,110.94635,73.690002,70.135017,229.080002,111.421021,189.01387,169.780228,37.949165,193.491714,82.829338,131.21508799999998,64.5
2019-06-12,1798.9000239999998,173.21376,65.372566,263.210571,170.630005,27.215176,23.470682,384.709991,113.942223,74.790001,68.510605,230.42999300000002,108.86563100000001,189.949585,171.056244,38.73336,192.875916,82.202591,130.609177,64.08000200000001
2019-06-13,1809.52002,174.308685,65.470528,260.566986,168.889999,27.564213,23.648789999999998,387.570007,110.560745,74.769997,68.845345,231.25999500000003,109.694405,191.482544,168.823227,38.713509,192.836166,83.17752800000001,131.43360900000002,60.599998
2019-06-14,1775.5,173.687241,64.85334,259.469666,170.220001,27.816296,23.520157,387.959991,110.48164399999999,73.809998,67.654114,227.669998,105.87611399999999,191.42283600000002,169.132263,38.624171999999994,191.43573,83.008408,131.56274399999998,61.330002
2019-06-17,1781.410034,175.96583600000002,65.88198100000001,258.57180800000003,173.779999,27.48665,23.74774,383.850006,112.122948,73.220001,68.038063,231.77999900000003,105.29400600000001,190.945023,169.032562,38.723434000000005,192.57794199999998,81.685287,131.960068,61.919998
2019-06-18,1808.9899899999998,179.142075,65.411743,258.18277,177.940002,27.602992999999998,23.629,385.329987,113.358871,73.370003,70.843849,233.00999500000003,109.556274,193.154877,168.753448,39.378586,197.107086,83.86395999999999,134.254578,62.119999
2019-06-19,1842.060059,180.28633100000002,65.744835,259.240204,181.75,27.748426000000002,23.817003,378.98999,113.93234299999999,74.07,70.68634,233.88999900000002,109.81280500000001,195.165665,170.15905800000002,39.835209000000006,196.53100600000002,83.117836,134.781021,62.360001000000004
2019-06-20,1861.310059,181.578522,66.146484,266.143433,182.169998,27.435329,23.342049,375.869995,114.25862099999999,74.75,71.611755,234.97000099999997,111.203957,196.449783,173.19957,39.626751,198.110245,84.799095,136.032578,63.52
2019-06-21,1880.0,184.567352,65.411743,263.829041,183.970001,27.298346000000002,23.183729,376.269989,114.189415,73.940002,71.592072,239.08999599999999,110.819176,193.672501,172.900513,39.755795,197.434845,85.30645799999999,136.05246,63.779999
